period,duration,depth,planet_radius,stellar_temperature,stellar_gravity,stellar_radius,magnitude,snr,equilibrium_temp,disposition
9.48803557,2.9575,615.8,2.26,5455,4.467,0.927,15.347,35.8,793,1
54.4183827,4.507,874.8,2.83,5455,4.467,0.927,15.347,25.8,443,1
19.89913995,1.7822,10829,14.6,5853,4.544,0.868,15.436,76.3,638,2
1.736952453,2.40641,8079.2,33.46,5805,4.564,0.791,15.597,505.6,1395,0
2.525591777,1.6545,603.3,2.75,6031,4.438,1.046,15.509,40.9,1406,1
11.09432054,4.5945,1517.5,3.9,6046,4.486,0.972,15.714,66.5,835,1
4.13443512,3.1402,686,2.77,6046,4.486,0.972,15.714,40.2,1160,1
2.56658897,2.429,226.5,1.59,6046,4.486,0.972,15.714,15,1360,1
7.36178958,5.022,233.7,39.21,6227,3.986,1.958,12.66,47.7,1342,0
16.06864674,3.5347,4914.3,5.76,5031,4.485,0.848,15.841,161.9,600,1
2.470613377,1.74319,14231,13.04,5820,4.457,0.964,11.338,4304.3,1339,1
2.204735417,3.88864,6674.7,16.1,6440,4.019,1.952,10.463,5945.9,2048,1
3.522498429,3.19843,9145.7,14.59,6225,4.169,1.451,13.563,1741.5,1521,1
3.709214104,2.6302,131.1,1.16,5833,4.407,1.022,12.772,50.6,1206,1
11.52144606,3.6399,17984,150.51,5795,4.554,0.848,15.472,622.1,753,0
19.40393776,12.2155,8918.7,7.18,5043,4.591,0.68,15.487,214.7,523,0
19.22138894,4.79843,74284,49.29,6117,4.496,0.947,15.341,2317,698,0
16.46983774,9.4378,10479,7.94,5152,4.517,0.786,15.788,303.4,595,0
9.27358173,3.2875,1288.3,2.47,4856,4.583,0.696,15.302,87.2,649,1
6.02930329,1.5821,1912.7,2.85,4537,4.648,0.672,15.784,65.4,678,1
2.696370652,3.6129,397.9,1.58,4989,4.504,0.819,15.269,48.2,1066,0
5.349553819,3.0278,831,2.55,5185,4.44,0.91,15.416,60.6,919,1
3.94105221,2.5984,363.3,1.7,5185,4.44,0.91,15.416,28.9,1018,1
8.10904807,3.596,217.4,1.3,5185,4.44,0.91,15.416,14.1,800,1
386.6030528,6.8057,24927,41.5,5543,4.081,1.58,12.394,994,297,0
21.67699193,3.4555,857.2,2.95,4954,4.5,0.828,15.377,34.3,530,1
4.99677968,2.1717,934.7,2.78,5339,4.552,0.847,15.861,28.2,917,1
4.280963604,2.875,750.8,2.3,5644,4.564,0.831,15.356,61.8,1012,1
1.50635409,1.5155,2211.7,4.53,5714,4.563,0.831,15.525,181.1,1452,0
670.645531,53.412,18091,14.14,5520,4.466,0.983,15.207,642.7,196,0
61.2563628,7.633,5123.3,39.87,6144,4.402,1.091,15.25,85.3,505,0
38.3775486,5.588,724.2,2.82,5481,4.369,1.036,15.172,34.7,529,1
41.19725502,4.6297,2213.9,3.86,5031,4.485,0.848,15.841,51.2,439,1
6.252962249,2.5819,1036.9,2.65,5031,4.485,0.848,15.841,47.1,823,1
16.01308419,3.2554,1121.9,3.1,5015,4.499,0.826,15.39,33.2,593,1
32.62876672,4.7971,1804.8,3.36,5586,4.56,0.798,15.082,80,506,1
91.7732862,6.473,652,2.12,5586,4.56,0.798,15.082,19.1,359,1
4.959319244,2.22739,9802,12.21,5712,4.359,1.082,15.263,696.5,1103,1
2.701287801,3.3827,860.4,6.54,5550,4.468,0.91,15.54,48.3,1222,0
4.49876511,3.7362,460,2.1,6075,4.486,0.969,15.395,29.5,1133,1
19.65120951,5.2514,11766,12.42,6074,4.391,1.063,15.536,513.4,730,0
