tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_teff,st_logg,st_rad,pl_eqt
0,2.1713484,2.0172196,656.8860989,5.8181633,9.604,10249,4.19,2.16986,3127.204052
2,1.9316462,3.166,1286,11.2154,9.42344,7070,4.03,2.01,4045
0,1.8675574,1.408,1500,23.7529,9.299501,8924,,5.73,2037
0,2.74323,3.167,383.41,,9.3003,5388.5,4.15,,1631
0,3.5730141,3.37,755,11.3113,9.1355,9219,4.14,2.15,4260
0,4.5505945,2.654,3731,7.10841,9.1309,5613,,1.09,1257
0,2.5047918,4.3797563,2270.540219,8.6950898,9.2386,6616,,1.53429,1649.82207
2,6.9989206,3.953,2840,14.7752,8.87759,6596,3.71,2.7,1282
0,2.0483755,2.767,483,3.19621,8.9362,6858.5,4.2,1.57,
2,1.9600277,2.0065257,1707.627269,,8.4331,8868.7,,,1456.424653
1,1.4303699,1.6165994,18960.71229,13.1874503,12.4069,5600,4.48851,0.890774,1525.904809
0,0.6808702,2.4634563,1507.800689,5.9115908,8.45086,9438,,1,4382.026606
2,2.4704981,2.191,250,1.44656,8.2388,5413.7,4.46,0.94,1364
2,0.884182,1.621,1890,24.8132,8.12718,8928,3.92,2.72,5098
0,5.4255548,3.9637474,14939.63422,,7.6095,8868.7,,,1037.275305
0,1.4095184,0.9484999,2841.510326,,7.678,9307,,,1625.618022
0,1.3730466,2.5708515,1301.506534,42.1479417,10.7069,4897,,6.7996101,1912.331864
0,12.6889415,7.9201001,3232.852789,14.0608342,10.6257,7601,4.31,1.53641,1158.131037
0,1.10422,2.37,14177.7,21.0448,10.6019,6995.2,4.07,1.61,3926
0,4.95912,2.509,7440,22.9123,10.6254,5889,3.86,2,1419
2,5.2341008,3.7078139,20796.94163,24.2931408,10.6348,7645,4.3,1.56203,1574.838185
1,4.4119378,3.65,15062,15.4706,9.7109,6280,4.32092,1.21,1408
0,3.28892,3.793,10518.9,,10.7173,8734.2,4.1,,3661
0,1.90879,1.909,618.482,3.34688,10.5551,6022.6,4.52,1.22,1561
0,3.09574,4.475,380,3.4262,8.72924,6084,4.13,1.41,3230
0,1.3214483,3.435,2180,21.8839,9.697,5050.8,3.56,2.99,3827
0,18.0157,2.524,610,21.644,10.0814,4709,,7.61,463
2,9.6837921,2.4006056,4238.239901,,5.5324,8598.7,,,1914.698926
0,14.2628757,6.9350494,913.2067174,2.4765813,9.9138,5690,4.58,0.853898,980.3628831
2,3.2834565,1.537,1558,2.87648,10.2103,4272,4.6,0.68,992
2,11.02875,2.715,1694,2.76586,10.2103,4272,4.6,0.68,548
2,5.0113292,1.024,1210,2.52314,10.2103,4272,4.6,0.68,567
0,1.01606,2.843,240,1.20704,7.9059,4634,4.64,0.68,2023
0,36.22214,5.107,7170,,6.841,,,,
1,3.547854,3.494333,10424.3718,14.581841,11.5232,6351,4.22896,1.4,1504.858953
0,12.1246519,4.612,7279,17.6729,9.5706,4807.6,4.17,1.07,1057
0,5.652623,3.434,1250,8.94354,9.7318,6415.4,3.98,1.92,2011
2,5.6643704,3.8087395,3491.823297,14.7738943,9.7611,10395,4.13,2.3383701,2385.853649
0,29.0160175,5.345,1389,6.77406,10.0163,6113.1,,2.01,
0,3.6404389,2.5339234,476.3077321,3.7025342,9.8174,9810,4.43,1.60776,2783.098027
2,6.0744477,2.4954821,5982.521241,30.9493217,10.1126,5964,3.7,2.4303801,1583.93989
2,3.7795212,2.952,2761,5.98375,10.2855,5771,4.31,1.18,1294
0,1.2025238,1.991,390,6.31106,9.0211,9158,4.32,1.74,5952
0,3.2235985,2.159,680,5.51341,8.7157,8904,4.09,2.17,
2,4.420125,3.956,2466,,8.5483,,,,
1,4.0872956,5.586113,3572.17125,13.6237732,9.8638,6036,3.93359,2.2186699,1755.076738
0,2.55555,1.566,340,11.5901,8.3854,10037,,6.04,2145
0,8.30792,3.228,8350,43.1068,8.0981,9081,3.83,3.05,1924
2,0.758082,1.8184632,583.93181,10.1273702,9.718,9917,3.75,3.5086601,5499.747633
0,1.4415577,2.349,507,3.61078,9.5719,6902,4.25,1.52,3174
2,1.0085089,1.642,3051,,10.0031,5215.2,,,
0,3.7039994,4.277,7590,17.57,9.6306,7013.8,4.21,1.9,2149
0,1.3042553,1.706,914,9.36472,10.0119,6762,4.11,1.75,3569
0,0.62627,0.666,1880,5.72162,10.2355,5622,4.5,0.93,2101
0,0.30412,0.748,1330,10.417,8.802,11892,4.14,2.52,6413
1,2.1805277,2.969175,16340.13532,16.808853,11.0657,6599,4.21017,1.2714601,1654.404068
1,2.1846669,2.86528,11708.02285,13.7028527,9.4995,5630,4.37759,1.23824,1549.44098
1,3.7354838,4.142,17030,21.2315,11.0261,6650,4.1639,1.57,1670
0,21.701669,8.2676424,211.6567325,2.3751494,7.1278,5625,4.438,1.56486,685.2
1,9.139804,3.0912936,358.4157801,3.0629855,9.0197,5958.2,4.34,1.58,1006.993283
0,5.742625,2.860293,1105.760867,13.088532,8.8849,5664,3.26574,3.86959,
1,15.5077855,4.565,513,2.43432,8.4362,6122,4.30881,1.17,853
1,17.4713078,4.4284819,1199.754148,3.5766828,8.0888,5783.54,4.49925,0.974669,689.3568807
2,5.3079507,3.2158594,391.3830934,3.0486928,9.6663,6124.3,4.38,1.36963,1263.986113
2,51.1701501,6.6641048,851.4547808,2.9366826,9.4091,5599,4.46138,0.943356,466.7322968
2,11.1296441,7.0473822,951.6169809,12.8402271,9.3781,5785,4.344,3.4475601,1518.237249
2,9.4496506,2.021,19750,17.0216,9.7825,5509,4.39758,0.94,694
1,2.8493825,3.567,8049,16.3869,10.3157,6900,4.438,1.77,1864
2,2.0685633,0.373,502,3.89739,9.6652,5687.9,4.6,1.14,619
0,0.540933,1.674337,257.347459,2.28501,9.7345,5525,4.25342,1.21935,
1,4.1150576,1.08,487,2.30057,9.478,5394,4.50942,0.89,826
2,10.0665238,2.4023189,839.9044871,2.7272824,9.0689,5552,4.61783,0.791742,694.1792631
1,6.4438657,1.9309449,1121.951228,2.460344,10.0059,4803,4.52079,0.737189,712.2812841
1,12.2265595,2.1904379,1206.369329,2.6014766,10.0059,4803,4.52079,0.737189,575.3502049
1,2.160344,1.828854,19357.99299,22.503541,13.2851,5780,4.32928,1.2,
1,4.606184,3.121643,13793.03487,12.962219,11.9707,5670,4.3925,1.07,
1,3.1316735,2.4579197,14915.69437,9.4995191,13.1686,4351,4.438,0.76701,890.5622134
1,3.180362,2.111521,21192.46332,13.446487,13.2887,5498,4.47934,0.92,
1,2.9776446,2.962,13022,14.4339,10.4293,5703,4.25824,1.22,1461
1,3.9502008,4.444,13914,20.5357,9.6433,6153,4.18077,1.71,1570
0,2.9776152,3.25697,43218.11168,26.88423,15.7114,5740,4.29219,1.28,1386.5
1,3.5544026,2.0550535,10164.87534,13.200677,11.5803,5639,4.37172,1.11499,1214.987644
0,12.8379689,9.8464123,10539.01928,25.4886382,11.7106,5765,4.34773,2.4494,1225
1,3.9228016,1.8736007,31510.90049,13.3368705,13.6699,4444,4.438,0.6983,788.0973496
2,13.9428705,3.7522756,1015.395543,2.4233421,10.6339,5206,4.63095,0.741671,587.1759148
1,0.6047392,1.0403847,1027.683348,1.8625587,11.1186,4046,4.60963,0.580337,1222.59731
1,2.5495611,2.6173308,14921.40219,12.9171288,11.2474,5659,4.44653,1.03997,1337.864515
2,1.6062693,1.9561305,16725.30193,12.6436029,13.461,5192,4.4617,0.984326,1374.801814
1,0.5182425,0.8565249,831.8920424,1.3485121,10.1165,3325,4.88693,0.390989,1019.329598
2,3.1644075,2.0576293,5603.463547,14.8814743,13.1284,6519,4.22068,1.7234,1747.949001
1,3.0440541,2.5984575,22236.01654,12.1086799,13.163,5523,4.52192,0.809868,1075.318454
2,3.9652485,1.0112593,3680.754444,1.2305102,12.7067,3296,4.96636,0.199988,386.6684768
2,2.98278,3.109528,6136.231662,11.467011,11.5247,6027,4.29978,1.23975,
2,16.3469053,3.5865698,2212.425725,3.5059571,11.8835,4310,4.57345,0.649613,441.7489067
2,12.9802953,2.5034417,2407.260867,2.4241912,12.0936,3614,4.81257,0.491323,376.2093904
1,1.3484961,2.4074261,18463.76367,15.8824638,12.2851,6346,4.38484,1.14759,1839.671304
2,3.2541181,4.341,13620,14.9476,11.6577,6102,4.28649,1.28,
2,3.7178828,5.5277827,4864.840513,14.6986197,12.2303,5818,4.33787,2.0840001,1689.411619
